ID,Asset,Log
3081,WebServer,May 23 13:49:10 auth-server nginx[34070]: User 'jenkins' logged in successfully from 198.51.100.47.82
3082,Database,2025-05-11T17:27:37.654965Z proxy-01 mongodb[7432]: Successfully authenticated as principal dbadmin on master
3083,Application,2025-05-12T19:07:18.654965Z gitlab-runner-01 httpd[63823]: Successful login: user=deploy ip=172.16.159.77 session=d0e24744
3084,SSH,2025-05-05T07:13:19.654965Z monitoring-01 sshd[43764]: Accepted password for mysql from 172.17.84.60 port 54156 ssh2: RSA SHA256:f404e3285515
3085,Linux,2025-05-24 22:25:02 vpn-gateway sudo: system : TTY=pts/7 ; PWD=/home/system ; USER=www-data ; COMMAND=/usr/bin/vim
3086,Windows,2025-05-01 09:39:05 ldap-master Logon Type: 7. New Logon: Security ID: S-1-5-21-101058-8705 Account Name: monitoring Account Domain: CORPORATE
3087,SSH,May 21 23:39:18 mail-server sshd[56205]: User deploy from 198.51.100.155.196 authenticated successfully
3088,WebServer,nginx[25133]: User 'web_admin' logged in successfully from 172.17.201.254
3089,Database,May 03 22:14:12 web-prod-02 mysql[25360]: User app_user connected to database test from 100.64.187.189
3090,Database,[05/May/2025:20:33:04 +0000] app-server-01 mysql[35248]: Access granted for user 'app_user'@'100.64.216.99' (using password: YES)
3091,WebServer,apache2[46722]: Successful login: user=devops ip=172.17.28.198 session=93adbf4b
3092,Other,tomcat[46746]: User [dbuser] successfully authenticated via LDAP
3093,Linux,systemd-logind[5041]: New session 668 of user deploy.
3094,SSH,sshd[45487]: pam_unix(sshd:session): session opened for user web_admin by (uid=0)
3095,SSH,sshd[56002]: pam_unix(sshd:session): session opened for user demo by (uid=0)
3096,Database,[03/May/2025:05:19:19 +0000] proxy-01 mysql[40606]: Access granted for user 'backup'@'100.64.237.161' (using password: YES)
3097,SSH,sshd[24628]: pam_unix(sshd:session): session opened for user service by (uid=0)
3098,Database,May 22 04:29:34 file-server postgres[51172]: User replication connected to database production from 172.16.250.211
3099,Linux,2025-05-19 08:56:13 jenkins-master sudo: monitoring : TTY=pts/4 ; PWD=/home/monitoring ; USER=sarah ; COMMAND=/bin/cat /etc/passwd
3100,SSH,[23/May/2025:23:07:25 +0000] app-server-01 sshd[33749]: pam_unix(sshd:session): session opened for user guest by (uid=0)
3101,Database,2025-05-22 00:10:27 proxy-01 mongodb[44675]: Successfully authenticated as principal readonly on test
3102,SSH,sshd[13776]: User netadmin from 172.16.141.200 authenticated successfully
3103,Linux,2025-04-28 16:21:56 ad-controller-01 su[63293]: + pts/8 gitlab:system
3104,Database,[05/May/2025:11:24:45 +0000] db-slave-01 Oracle Audit: LOGON: USER: 'app_user' PRIVILEGE: 'NORMAL' SUCCESS
3105,Application,2025/05/09 07:24:22 k8s-master-01 Special privileges assigned to new logon: User: WORKGROUP\john Privileges: SeRestorePrivilege
3106,SSH,[06/May/2025:04:48:04 +0000] proxy-01 sshd[36581]: pam_unix(sshd:session): session opened for user sysadmin by (uid=0)
3107,Windows,Windows Logon: User CORPORATE\git logged on successfully from 198.51.100.97.50
3108,Other,2025-05-19T16:14:11.654965Z db-slave-01 tomcat[50990]: User [www-data] successfully authenticated via local
3109,Database,2025/05/09 02:13:32 gitlab-runner-01 mysql[33898]: Access granted for user 'dbadmin'@'203.0.113.1.47' (using password: YES)
3110,SSH,[02/May/2025:09:43:08 +0000] ad-controller-01 sshd[64152]: pam_unix(sshd:session): session opened for user john by (uid=0)
3111,Windows,2025/05/26 04:09:59 auth-server Windows Logon: User INTERNAL\oracle logged on successfully from 172.17.250.249
3112,SSH,2025-05-07 08:03:14 k8s-master-01 sshd[37480]: Successful authentication for gitlab from 100.64.251.185 port 47597
3113,Windows,2025-05-18 14:27:57 k8s-worker-01 Windows Logon: User INTERNAL\sysadmin logged on successfully from 10.0.205.162
3114,SSH,2025-05-06T17:39:38.654965Z proxy-02 sshd[16935]: User app_user from 100.64.65.123 authenticated successfully
3115,Application,2025-04-29T01:09:53.654965Z db-slave-01 tomcat[30825]: Successful login: user=gitlab ip=10.0.202.220 session=300873ec
3116,Linux,[17/May/2025:10:57:40 +0000] backup-server login[39970]: pam_unix(login:session): session opened for user devops by LOGIN(uid=0)
3117,Database,2025-05-17T17:26:21.654965Z proxy-01 Oracle Audit: LOGON: USER: 'readonly' PRIVILEGE: 'SYSDBA' SUCCESS
3118,SSH,2025/05/15 15:48:02 ldap-master sshd[13349]: Accepted keyboard-interactive for jennifer from 192.168.199.251 port 65002 ssh2: RSA SHA256:369d412fdceb
3119,Database,May 04 19:06:22 proxy-02 Oracle Audit: LOGON: USER: 'replication' PRIVILEGE: 'SYSDBA' SUCCESS
3120,Database,2025-04-26 09:29:44 proxy-01 postgres[33033]: User readonly connected to database admin from 172.16.200.180
3121,Database,2025/05/11 05:53:27 web-prod-01 mysql[39079]: Access granted for user 'replication'@'198.51.100.106.7' (using password: YES)
3122,SSH,sshd[19182]: pam_unix(sshd:session): session opened for user netadmin by (uid=0)
3123,SSH,[10/May/2025:17:22:29 +0000] backup-server sshd[2128]: Accepted publickey for developer from 172.16.177.244 port 44835 ssh2
3124,SSH,2025-05-12 12:31:10 vpn-gateway sshd[41707]: pam_unix(sshd:session): session opened for user netadmin by (uid=0)
3125,Linux,May 10 01:12:28 proxy-01 su[53530]: + pts/1 operator:app_user
3126,Application,"[07/May/2025:11:41:58 +0000] web-prod-01 [INFO] SecurityManager - Login successful for user: sarah, IP: 198.51.100.87.159"
3127,WebServer,May 09 15:09:19 mail-server apache2[53265]: Auth: user sarah@CORPORATE : authentication successful
3128,Other,[24/May/2025:15:14:41 +0000] backup-server mariadb[62398]: User readonly connected to database development from 172.16.29.74
3129,SSH,2025-05-09 14:00:49 file-server sshd[46120]: User support from 2001:db8::21df authenticated successfully
3130,Database,2025/05/25 10:14:17 k8s-master-01 mysql[61874]: User dbadmin connected to database admin from 172.17.138.102
3131,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-922777-4989 Logon Type: 10
3132,Database,mongodb[59995]: Successfully authenticated as principal app_user on test
3133,Windows,2025-05-02T10:54:17.654965Z web-prod-02 Logon Type: 2. New Logon: Security ID: S-1-5-21-758697-9856 Account Name: app_user Account Domain: INTERNAL
3134,Windows,Logon Type: 3. New Logon: Security ID: S-1-5-21-402126-2870 Account Name: root Account Domain: INTERNAL
3135,Application,2025/05/14 09:39:33 web-prod-01 httpd[17036]: Successful login: user=john ip=10.0.110.197 session=2ac0054f
3136,Other,2025-05-06T05:07:39.654965Z ad-controller-01 tomcat[44487]: User [sysadmin] successfully authenticated via SAML
3137,Database,2025-05-13 02:22:00 web-prod-02 postgres[27616]: LOG:  connection authorized: user=replication database=master
3138,Linux,2025/04/29 17:25:24 proxy-02 login[43953]: pam_unix(login:session): session opened for user michael by LOGIN(uid=0)
3139,SSH,2025-05-21 14:27:06 ad-controller-01 sshd[3515]: User jennifer from 10.0.201.196 authenticated successfully
3140,Database,2025-05-20 03:46:02 web-prod-01 mongodb[47029]: Successfully authenticated as principal app_user on master
3141,WebServer,2025-05-22 23:16:44 auth-server nginx[57870]: Successful login: user=system ip=172.16.216.81 session=aecdac9f
3142,Windows,Windows Logon: User WORKGROUP\admin logged on successfully from 198.51.100.249.105
3143,Windows,2025/05/15 21:38:23 gitlab-runner-01 Logon Type: 3. New Logon: Security ID: S-1-5-21-118683-4765 Account Name: devops Account Domain: WORKGROUP
3144,Other,[14/May/2025:04:12:19 +0000] mail-server tomcat[26234]: User [bob] successfully authenticated via SAML
3145,Linux,2025-05-25 05:41:07 ad-controller-01 login[50539]: pam_unix(login:session): session opened for user helpdesk by LOGIN(uid=0)
3146,Windows,Apr 28 14:33:23 monitoring-01 Windows Logon: User CORPORATE\sysadmin logged on successfully from 100.64.25.239
3147,Other,2025-05-17 11:01:05 ad-controller-01 tomcat[6738]: User [jenkins] successfully authenticated via SAML
3148,Linux,May 05 03:52:51 backup-server sudo: pam_unix(sudo:session): session opened for user jenkins by analyst(uid=1263)
3149,Database,postgres[3918]: User readonly connected to database master from 198.51.100.35.6
3150,Linux,[11/May/2025:01:18:47 +0000] jenkins-master sudo: app_user : TTY=pts/2 ; PWD=/home/app_user ; USER=deploy ; COMMAND=/usr/bin/vim
3151,SSH,2025/05/20 13:35:27 gitlab-runner-01 sshd[29610]: pam_unix(sshd:session): session opened for user oracle by (uid=0)
3152,Database,2025/04/26 18:49:03 k8s-master-01 postgres[37502]: LOG:  connection authorized: user=app_user database=development
3153,SSH,[11/May/2025:12:44:24 +0000] loadbalancer sshd[38725]: Accepted keyboard-interactive for nginx from 172.16.223.248 port 60592 ssh2
3154,Windows,2025-05-20T13:42:03.655969Z ldap-master Logon Type: 11. New Logon: Security ID: S-1-5-21-387173-9611 Account Name: david Account Domain: WORKGROUP
3155,Linux,[19/May/2025:15:34:51 +0000] db-slave-01 sudo: postgres : TTY=pts/2 ; PWD=/home/postgres ; USER=demo ; COMMAND=/bin/cat /etc/passwd
3156,Database,2025-04-29 12:56:23 vpn-gateway mongodb[61023]: Successfully authenticated as principal backup on admin
3157,Database,[06/May/2025:07:33:52 +0000] k8s-worker-02 Oracle Audit: LOGON: USER: 'app_user' PRIVILEGE: 'SYSDBA' SUCCESS
3158,Windows,[21/May/2025:21:32:43 +0000] db-master An account was successfully logged on. Subject: Security ID: S-1-5-21-104799-6412 Logon Type: 11
3159,Linux,2025-04-27 16:09:04 backup-server login[8032]: pam_unix(login:session): session opened for user gitlab by LOGIN(uid=0)
3160,Linux,2025-05-18T04:52:47.655969Z backup-server su[7672]: Successful su for app_user by netadmin
3161,Database,mysql[36241]: Access granted for user 'dbadmin'@'172.17.129.136' (using password: YES)
3162,WebServer,May 24 12:06:56 web-prod-01 nginx[5716]: User 'john' logged in successfully from 172.17.145.124
3163,Database,2025-05-25T18:17:49.655969Z db-slave-01 mongodb[1806]: Successfully authenticated as principal replication on admin
3164,Other,[01/May/2025:15:23:45 +0000] db-slave-01 tomcat[37188]: User [devops] successfully authenticated via OAuth
3165,SSH,2025-05-06 22:19:39 proxy-02 sshd[35692]: Accepted publickey for administrator from 2001:db8::1eba port 60104 ssh2
3166,SSH,[15/May/2025:21:10:34 +0000] loadbalancer sshd[37984]: Accepted keyboard-interactive for monitoring from 172.16.223.245 port 53849 ssh2
3167,SSH,2025/05/10 01:15:42 file-server sshd[37513]: User mary from 192.168.114.245 authenticated successfully
3168,Windows,Logon Type: 3. New Logon: Security ID: S-1-5-21-749195-1164 Account Name: analyst Account Domain: CORPORATE
3169,Database,[10/May/2025:11:47:06 +0000] ldap-master mysql[27070]: Access granted for user 'dbadmin'@'2001:db8::b59' (using password: YES)
3170,Application,2025-05-01 16:33:39 vpn-gateway Special privileges assigned to new logon: User: CORPORATE\backup Privileges: SeDebugPrivilege
3171,Linux,2025/04/29 13:12:58 jenkins-master login[22494]: pam_unix(login:session): session opened for user administrator by LOGIN(uid=0)
3172,Linux,2025-05-09 21:41:17 mail-server gdm-password][6591]: pam_unix(gdm-password:session): session opened for user system by (uid=0)
3173,Other,2025/05/06 22:26:54 loadbalancer tomcat[15200]: User [deploy] successfully authenticated via SAML
3174,Linux,May 08 20:58:35 vpn-gateway sudo: pam_unix(sudo:session): session opened for user administrator by admin(uid=1992)
3175,Linux,2025/05/19 18:52:59 k8s-worker-02 systemd-logind[42297]: New session 900 of user test.
3176,Windows,Apr 27 16:24:36 k8s-worker-02 Windows Logon: User CORPORATE\user logged on successfully from 10.0.227.159
3177,Linux,su[54048]: Successful su for web_admin by user
3178,WebServer,nginx[50842]: User 'web_admin' logged in successfully from 172.17.60.30
3179,Linux,2025/05/08 13:24:18 web-prod-02 su[7907]: Successful su for test by monitoring
3180,WebServer,apache2[40565]: Auth: user netadmin@company.com : authentication successful
3181,Other,2025-05-01T09:29:24.655969Z monitoring-01 tomcat[51551]: User [gitlab] successfully authenticated via OAuth
3182,SSH,2025-05-13 22:34:29 mail-server sshd[43739]: Accepted password for bob from 198.51.100.123.26 port 41780 ssh2: RSA SHA256:120734f21587
3183,Linux,[25/May/2025:11:14:42 +0000] gitlab-runner-01 su[58908]: + pts/4 gitlab:gitlab
3184,Linux,su[9421]: Successful su for nagios by security
3185,WebServer,2025/04/29 19:39:43 mail-server nginx[26805]: User 'john' logged in successfully from 10.0.103.209
3186,WebServer,[20/May/2025:08:39:48 +0000] monitoring-01 apache2[11303]: Auth: user dbadmin@TEST : authentication successful
3187,SSH,2025-05-10T22:52:47.655969Z monitoring-01 sshd[59415]: Successful authentication for security from 203.0.113.80.232 port 50403
3188,SSH,2025-05-25T19:38:04.655969Z vpn-gateway sshd[43567]: Accepted password for nagios from 10.0.119.8 port 52679 ssh2
3189,Linux,2025-04-26 15:24:17 k8s-worker-01 sudo: pam_unix(sudo:session): session opened for user guest by netadmin(uid=1465)
3190,Other,tomcat[18008]: User [admin] successfully authenticated via SAML
3191,SSH,sshd[37238]: User dbadmin from 2001:db8::1af5 authenticated successfully
3192,Linux,su[63940]: + pts/4 john:test
3193,Database,Apr 28 13:36:00 app-server-01 mongodb[10469]: Successfully authenticated as principal readonly on master
3194,Database,[19/May/2025:13:46:03 +0000] k8s-worker-01 mysql[18151]: User backup connected to database production from 203.0.113.26.161
3195,WebServer,nginx[5235]: User 'nagios' logged in successfully from 203.0.113.49.195
3196,Application,httpd[52937]: Successful login: user=app_user ip=203.0.113.166.211 session=a7258a3d
3197,Database,postgres[62036]: LOG:  connection authorized: user=app_user database=test
3198,Windows,2025/05/02 06:30:47 db-master Logon Type: 10. New Logon: Security ID: S-1-5-21-661542-8016 Account Name: support Account Domain: WORKGROUP
3199,Application,"[06/May/2025:03:14:32 +0000] ldap-master [INFO] SecurityManager - Login successful for user: dbadmin, IP: 100.64.62.61"
3200,Database,2025/05/01 00:13:56 web-prod-02 postgres[7145]: LOG:  connection authorized: user=backup database=master
3201,WebServer,May 04 08:27:06 ldap-master apache2[53111]: Auth: user support@DEV : authentication successful
3202,WebServer,2025-05-24T06:27:19.655969Z k8s-worker-01 nginx[38005]: User 'root' logged in successfully from 203.0.113.9.154
3203,Other,May 07 10:49:30 ad-controller-01 mariadb[4252]: User backup connected to database development from 172.16.74.20
3204,Database,mysql[49475]: Access granted for user 'backup'@'192.168.131.251' (using password: YES)
3205,SSH,2025-05-07T17:48:12.655969Z mail-server sshd[33918]: User guest from 172.16.246.171 authenticated successfully
3206,Linux,2025-05-25T23:58:54.655969Z proxy-02 su[63624]: Successful su for david by www-data
3207,Other,tomcat[9079]: User [git] successfully authenticated via SAML
3208,Database,2025/05/01 19:00:50 db-slave-01 mongodb[13361]: Successfully authenticated as principal app_user on development
3209,SSH,2025-05-12 20:05:02 jenkins-master sshd[17556]: Successful authentication for administrator from 172.17.230.124 port 48549
3210,Linux,su[4303]: + pts/9 www-data:netadmin
3211,WebServer,nginx[63411]: User 'sysadmin' logged in successfully from 203.0.113.92.177
3212,Application,May 06 19:17:04 db-slave-01 Special privileges assigned to new logon: User: CORPORATE\nagios Privileges: SeRestorePrivilege
3213,Application,2025-05-23T22:14:26.655969Z k8s-master-01 Special privileges assigned to new logon: User: CORPORATE\demo Privileges: SeDebugPrivilege
3214,SSH,sshd[57915]: Accepted publickey for deploy from 172.18.245.135 port 65434 ssh2: RSA SHA256:6fde03cd3cd4
3215,SSH,[02/May/2025:11:48:02 +0000] web-prod-02 sshd[14836]: Accepted password for alice from 172.16.233.9 port 58275 ssh2: RSA SHA256:60eea53e4e01
3216,Windows,2025-05-10T16:14:08.655969Z db-master An account was successfully logged on. Subject: Security ID: S-1-5-21-713172-2717 Logon Type: 3
3217,Linux,2025-05-26T02:53:09.655969Z vpn-gateway systemd-logind[28803]: New session 836 of user operator.
3218,SSH,sshd[7993]: pam_unix(sshd:session): session opened for user jennifer by (uid=0)
3219,Application,Special privileges assigned to new logon: User: WORKGROUP\gitlab Privileges: SeRestorePrivilege
3220,Windows,[15/May/2025:12:25:46 +0000] proxy-01 Logon Type: 2. New Logon: Security ID: S-1-5-21-334180-4422 Account Name: gitlab Account Domain: CORPORATE
3221,SSH,2025-05-23 06:43:05 mail-server sshd[22028]: Accepted password for nginx from 172.16.219.53 port 48644 ssh2
3222,Application,2025/05/21 12:12:16 backup-server Special privileges assigned to new logon: User: WORKGROUP\alice Privileges: SeDebugPrivilege
3223,Database,postgres[25320]: LOG:  connection authorized: user=backup database=test
3224,Database,May 01 19:59:20 db-master mongodb[28269]: Successfully authenticated as principal backup on production
3225,Windows,2025-05-25 15:13:16 app-server-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-879682-4608 Logon Type: 7
3226,Database,2025/04/28 20:47:47 k8s-master-01 postgres[51722]: LOG:  connection authorized: user=app_user database=admin
3227,Application,[17/May/2025:09:09:30 +0000] backup-server Special privileges assigned to new logon: User: INTERNAL\demo Privileges: SeBackupPrivilege
3228,Linux,2025-05-05T03:43:26.656963Z k8s-worker-01 su[58611]: + pts/6 user:app_user
3229,Other,mariadb[42663]: User dbadmin connected to database development from 2001:db8::1cd2
3230,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-675388-1371 Logon Type: 10
3231,SSH,sshd[40615]: Successful authentication for system from 172.18.72.83 port 54268
3232,Windows,Logon Type: 10. New Logon: Security ID: S-1-5-21-376341-5823 Account Name: david Account Domain: CORPORATE
3233,Application,"2025-05-01 12:06:00 backup-server [INFO] SecurityManager - Login successful for user: monitoring, IP: 2001:db8::b28"
3234,SSH,May 25 10:04:17 auth-server sshd[5689]: Accepted password for mysql from 10.0.78.224 port 41090 ssh2
3235,SSH,sshd[52342]: pam_unix(sshd:session): session opened for user git by (uid=0)
3236,SSH,sshd[20194]: Accepted keyboard-interactive for jenkins from 203.0.113.65.160 port 55137 ssh2
3237,WebServer,2025-05-12T09:41:42.656963Z proxy-02 nginx[54066]: Successful login: user=gitlab ip=198.51.100.5.73 session=d6d7fa65
3238,SSH,sshd[40481]: User guest from 2001:db8::2076 authenticated successfully
3239,Database,[19/May/2025:19:23:46 +0000] app-server-01 Oracle Audit: LOGON: USER: 'readonly' PRIVILEGE: 'NORMAL' SUCCESS
3240,Database,2025-05-20T19:04:45.656963Z mail-server Oracle Audit: LOGON: USER: 'backup' PRIVILEGE: 'SYSOPER' SUCCESS
3241,Linux,2025/05/14 19:18:15 jenkins-master systemd-logind[39268]: New session 470 of user deploy.
3242,Other,May 21 05:46:58 app-server-01 tomcat[39909]: User [jenkins] successfully authenticated via SAML
3243,Linux,login[30093]: pam_unix(login:session): session opened for user alice by LOGIN(uid=0)
3244,Linux,login[38897]: pam_unix(login:session): session opened for user app_user by LOGIN(uid=0)
3245,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-105207-6071 Logon Type: 2
3246,Application,[05/May/2025:02:00:56 +0000] k8s-worker-02 Special privileges assigned to new logon: User: WORKGROUP\nagios Privileges: SeBackupPrivilege
3247,WebServer,2025-05-09T08:37:20.656963Z loadbalancer nginx[31803]: Successful login: user=michael ip=203.0.113.64.71 session=7ca7f6f9
3248,Windows,2025-05-24T04:37:09.656963Z k8s-master-01 Windows Logon: User INTERNAL\backup logged on successfully from 198.51.100.193.15
3249,Linux,Apr 29 04:12:53 proxy-02 sudo: www-data : TTY=pts/9 ; PWD=/home/www-data ; USER=alice ; COMMAND=/bin/su
3250,Other,tomcat[50284]: User [gitlab] successfully authenticated via local
3251,Database,[01/May/2025:07:49:53 +0000] web-prod-02 mongodb[4041]: Successfully authenticated as principal readonly on test
3252,Linux,su[63366]: + pts/1 audit:root
3253,WebServer,apache2[19492]: Successful login: user=administrator ip=203.0.113.34.95 session=f6527a98
3254,WebServer,2025/05/18 17:44:02 web-prod-01 apache2[18634]: Successful login: user=nginx ip=100.64.100.242 session=ee1a3561
3255,Windows,2025-05-04 18:14:23 gitlab-runner-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-918253-1161 Logon Type: 3
3256,Windows,2025-05-13T03:10:46.656963Z vpn-gateway Windows Logon: User WORKGROUP\mary logged on successfully from 198.51.100.6.61
3257,Database,May 11 02:51:22 k8s-worker-02 Oracle Audit: LOGON: USER: 'replication' PRIVILEGE: 'NORMAL' SUCCESS
3258,WebServer,2025-05-24T04:37:23.656963Z k8s-worker-02 nginx[32339]: User 'nagios' logged in successfully from 172.18.36.72
3259,Windows,2025-05-15 09:05:17 web-prod-02 An account was successfully logged on. Subject: Security ID: S-1-5-21-996039-8712 Logon Type: 2
3260,Other,2025-05-19 23:24:55 web-prod-01 mariadb[34398]: User app_user connected to database development from 2001:db8::2f3
3261,Linux,su[63058]: Successful su for monitoring by dbuser
3262,Application,2025-05-06 10:46:08 db-master Special privileges assigned to new logon: User: WORKGROUP\demo Privileges: SeBackupPrivilege
3263,SSH,2025/05/07 19:28:20 auth-server sshd[38510]: Accepted publickey for jenkins from 192.168.64.18 port 43505 ssh2: RSA SHA256:2460d7c9f8b4
3264,WebServer,2025-05-14 09:01:20 monitoring-01 apache2[65047]: Auth: user guest@PROD : authentication successful
3265,Linux,2025/04/28 00:56:51 mail-server su[38614]: Successful su for dbadmin by sarah
3266,Windows,[29/Apr/2025:23:32:52 +0000] proxy-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-354108-8766 Logon Type: 10
3267,Linux,2025-05-25T12:22:35.656963Z k8s-worker-02 gdm-password][52962]: pam_unix(gdm-password:session): session opened for user backup by (uid=0)
3268,Other,[12/May/2025:18:19:12 +0000] proxy-01 mariadb[40736]: User app_user connected to database test from 172.18.173.199
3269,Application,Special privileges assigned to new logon: User: INTERNAL\support Privileges: SeDebugPrivilege
3270,Database,2025-05-17T22:16:23.656963Z ldap-master mongodb[11862]: Successfully authenticated as principal replication on admin
3271,Database,May 05 06:41:38 jenkins-master mysql[63730]: User backup connected to database test from 172.18.26.191
3272,SSH,sshd[6078]: pam_unix(sshd:session): session opened for user admin by (uid=0)
3273,Linux,[27/Apr/2025:19:26:08 +0000] backup-server login[46119]: pam_unix(login:session): session opened for user backup by LOGIN(uid=0)
3274,Application,"2025-05-15T10:15:54.656963Z app-server-01 [INFO] SecurityManager - Login successful for user: guest, IP: 10.0.170.21"
3275,Linux,May 24 08:21:21 proxy-01 sudo: audit : TTY=pts/1 ; PWD=/home/audit ; USER=administrator ; COMMAND=/bin/cat /etc/passwd
3276,Linux,Apr 30 03:13:56 app-server-01 systemd-logind[13116]: New session 967 of user demo.
3277,SSH,2025/04/29 16:58:04 web-prod-01 sshd[44288]: Accepted publickey for support from 172.16.20.212 port 58074 ssh2
3278,SSH,May 21 02:23:53 monitoring-01 sshd[6068]: User service from 172.18.217.178 authenticated successfully
3279,Linux,su[36552]: + pts/7 oracle:administrator
3280,SSH,[23/May/2025:04:24:08 +0000] web-prod-02 sshd[63708]: Accepted publickey for www-data from 2001:db8::1437 port 64456 ssh2
3281,Linux,2025/05/13 20:50:27 proxy-02 sudo: audit : TTY=pts/4 ; PWD=/home/audit ; USER=sarah ; COMMAND=/bin/cat /etc/passwd
3282,Other,tomcat[10808]: User [app_user] successfully authenticated via SAML
3283,Database,mysql[58457]: User readonly connected to database master from 10.0.200.187
3284,SSH,May 25 11:09:46 auth-server sshd[11443]: Successful authentication for nagios from 10.0.77.144 port 58287
3285,Database,Oracle Audit: LOGON: USER: 'backup' PRIVILEGE: 'SYSOPER' SUCCESS
3286,Database,apache2[18213]: Auth: user oracle@TEST : authentication successful
3287,Linux,May 25 20:22:55 backup-server gdm-password][27503]: pam_unix(gdm-password:session): session opened for user devops by (uid=0)
3288,Database,2025-05-18 20:18:01 proxy-02 postgres[44117]: User backup connected to database development from 172.18.225.159
3289,SSH,2025/04/28 14:30:20 auth-server sshd[10821]: pam_unix(sshd:session): session opened for user gitlab by (uid=0)
3290,Database,[16/May/2025:14:36:52 +0000] app-server-01 mysql[45020]: Access granted for user 'app_user'@'100.64.101.106' (using password: YES)
3291,WebServer,[26/May/2025:21:47:19 +0000] loadbalancer apache2[2919]: Auth: user nagios@internal.local : authentication successful
3292,WebServer,May 13 07:36:03 ldap-master nginx[34220]: User 'dbadmin' logged in successfully from 198.51.100.27.136
3293,Linux,2025-04-26T02:06:57.656963Z db-master login[55236]: pam_unix(login:session): session opened for user operator by LOGIN(uid=0)
3294,WebServer,2025-05-10T01:08:41.656963Z web-prod-02 nginx[30653]: User 'david' logged in successfully from 172.17.51.109
3295,Database,httpd[39272]: Successful login: user=oracle ip=198.51.100.152.189 session=a73037e2
3296,Other,[05/May/2025:20:54:43 +0000] ad-controller-01 tomcat[53271]: User [alice] successfully authenticated via LDAP
3297,Linux,2025-05-15 12:05:25 db-master gdm-password][4097]: pam_unix(gdm-password:session): session opened for user sysadmin by (uid=0)
3298,WebServer,apache2[26652]: Auth: user gitlab@internal.local : authentication successful
3299,Windows,2025-05-22T21:05:38.656963Z gitlab-runner-01 Windows Logon: User INTERNAL\alice logged on successfully from 198.51.100.132.125
3300,Application,"[INFO] SecurityManager - Login successful for user: operator, IP: 172.18.5.157"
3301,Windows,2025/05/13 10:24:13 proxy-02 Windows Logon: User WORKGROUP\sarah logged on successfully from 192.168.252.14
3302,WebServer,2025-05-06 00:18:47 ldap-master nginx[56813]: User 'support' logged in successfully from 192.168.71.111
3303,Database,2025/05/12 03:41:07 loadbalancer postgres[26153]: LOG:  connection authorized: user=readonly database=master
3304,Linux,systemd-logind[18223]: New session 482 of user admin.
3305,Database,Oracle Audit: LOGON: USER: 'dbadmin' PRIVILEGE: 'NORMAL' SUCCESS
3306,SSH,May 17 17:13:28 k8s-worker-01 sshd[36744]: Successful authentication for nagios from 100.64.54.232 port 57764
3307,Linux,2025-05-21T22:21:03.657960Z loadbalancer sudo: pam_unix(sudo:session): session opened for user app_user by admin(uid=1352)
3308,WebServer,2025/05/10 07:00:59 web-prod-01 apache2[21945]: Auth: user apache@CORPORATE : authentication successful
3309,WebServer,apache2[14648]: Auth: user developer@INTERNAL : authentication successful
3310,SSH,2025-05-13T04:05:49.657960Z file-server sshd[2446]: Accepted keyboard-interactive for admin from 192.168.251.71 port 64083 ssh2: RSA SHA256:6aac301d80e0
3311,Linux,2025-05-12 03:32:45 db-slave-01 sudo: bob : TTY=pts/6 ; PWD=/home/bob ; USER=developer ; COMMAND=/usr/bin/vim
3312,WebServer,May 22 12:50:55 file-server nginx[56756]: User 'michael' logged in successfully from 192.168.94.106
3313,Database,2025/04/28 09:20:10 file-server mysql[40960]: Access granted for user 'readonly'@'2001:db8::1408' (using password: YES)
3314,Database,Oracle Audit: LOGON: USER: 'backup' PRIVILEGE: 'NORMAL' SUCCESS
3315,Windows,2025-05-19 01:45:41 vpn-gateway An account was successfully logged on. Subject: Security ID: S-1-5-21-541149-2922 Logon Type: 7
3316,Windows,Windows Logon: User WORKGROUP\postgres logged on successfully from 192.168.72.40
3317,Linux,2025/05/14 21:55:38 web-prod-01 su[54276]: Successful su for audit by service
3318,Application,[17/May/2025:08:41:56 +0000] ad-controller-01 Special privileges assigned to new logon: User: CORPORATE\admin Privileges: SeRestorePrivilege
3319,Linux,2025-05-13 09:32:21 web-prod-01 sudo: backup : TTY=pts/5 ; PWD=/home/backup ; USER=mary ; COMMAND=/bin/cat /etc/passwd
3320,WebServer,[08/May/2025:05:34:29 +0000] proxy-01 nginx[64633]: User 'nagios' logged in successfully from 172.16.52.49
3321,SSH,[28/Apr/2025:01:50:50 +0000] file-server sshd[24719]: User service from 198.51.100.36.27 authenticated successfully
3322,Database,[26/May/2025:09:54:51 +0000] proxy-02 mongodb[35563]: Successfully authenticated as principal app_user on master
3323,Windows,May 26 09:09:58 vpn-gateway Logon Type: 3. New Logon: Security ID: S-1-5-21-609968-1769 Account Name: dbuser Account Domain: WORKGROUP
3324,Application,2025-05-23 21:09:44 file-server Special privileges assigned to new logon: User: WORKGROUP\demo Privileges: SeDebugPrivilege
